name,slug,threadcount,palette,colors_hex,symmetric,thread_total,verification,confirmed_by
MacLean of Duart #3,maclean-of-duart-3,A/16 K12 Y4 K4 W6 K4 G32 R50 A6 R8 K/3,A#3C82AF K#101010 Y#E8C000 W#E0E0E0 G#005020 R#DC0000,#3C82AF|#101010|#E8C000|#E0E0E0|#005020|#DC0000,yes,271,B_one_independent_archive,weddslist
MacLean of Duart #4,maclean-of-duart-4,A/26 K12 Y4 K6 W8 K6 G44 R62 A6 R8 K/4,A#3C82AF K#101010 Y#E8C000 W#E0E0E0 G#005020 R#DC0000,#3C82AF|#101010|#E8C000|#E0E0E0|#005020|#DC0000,yes,342,C_dual_register_scrape,
MacLean of Duart #5,maclean-of-duart-5,A/28 K16 Y4 K6 W8 K6 G42 R96 A8 R10 K/6,A#3C82AF K#101010 Y#E8C000 W#E0E0E0 G#005020 R#DC0000,#3C82AF|#101010|#E8C000|#E0E0E0|#005020|#DC0000,yes,426,C_dual_register_scrape,
MacLean of Duart #6,maclean-of-duart-6,B/16 A4 K12 Y4 K4 W4 K4 LG32 R48 A4 R8 K/4,A#5C8CA8 K#101010 B#2C2C80 HG#285800 R#C80000 W#E0E0E0 Y#E8C000 LG#447C34,#2C2C80|#5C8CA8|#101010|#E8C000|#E0E0E0|#447C34|#C80000|#285800,yes,268,C_dual_register_scrape,
MacLean of Duart (Reproduction Colours),maclean-of-duart-reproduction-colours,N/24 A4 DT8 Y4 DT6 W6 DT6 LT40 W58 A4 W8 DT/4,N#808080 A#3C82AF DT#2A2303 Y#E8C000 W#E0E0E0 LT#BE7832,#808080|#3C82AF|#2A2303|#E8C000|#E0E0E0|#BE7832,yes,316,C_dual_register_scrape,
MacLean of Duart Dress,maclean-of-duart-dress,DN/24 N4 T8 GO4 T6 W6 T6 W38 R60 N4 R8 T/4,K#101010 B#2C2C80 N#888888 R#C80000 W#E0E0E0 DN#5C5C5C T#604000 GO#BC8C00,#5C5C5C|#888888|#604000|#BC8C00|#E0E0E0|#C80000|#101010|#2C2C80,yes,316,A_two_plus_independent_archives,weddslist; house-of-tartan
MacLean of Duart Dress #2,maclean-of-duart-dress-2,K/4 R8 W4 R60 W38 K6 W6 K6 LG4 K8 W4 N/24,K#101010 R#DC0000 W#E0E0E0 LG#289C18 N#808080,#101010|#DC0000|#E0E0E0|#289C18|#808080,yes,316,C_dual_register_scrape,
MacLean of Duart Dress #3,maclean-of-duart-dress-3,N/24 DN4 T8 Y4 T6 W6 T6 W38 R60 N4 R8 T/4,N#808080 DN#505050 T#503C14 Y#E8C000 W#E0E0E0 R#DC0000,#808080|#505050|#503C14|#E8C000|#E0E0E0|#DC0000,yes,316,C_dual_register_scrape,
MacLean of Duart Dress #4,maclean-of-duart-dress-4,N/20 LN4 DT8 Y4 DT6 W6 DT6 LT36 W60 DN4 W8 DT/4,N#808080 LN#C0C0C0 DT#2A2303 Y#E8C000 W#E0E0E0 LT#BE7832 DN#505050,#808080|#C0C0C0|#2A2303|#E8C000|#E0E0E0|#BE7832|#505050,yes,308,C_dual_register_scrape,
MacLean of Duart Dress #5,maclean-of-duart-dress-5,A/24 B4 K8 Y4 K6 C6 K6 C38 W62 B4 W8 K/4,A#5C8CA8 K#101010 B#2C2C80 C#A00048 W#E0E0E0 Y#E8C000,#5C8CA8|#2C2C80|#101010|#E8C000|#A00048|#E0E0E0,yes,320,C_dual_register_scrape,
